                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.7693,                 1.4192,                  2.007,                0.87611,                 0.9604,                0.97059,                0.59555,                 1.4013,                0.97305,                 1.8586,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6927,                 1.2905,                 1.9103,                0.86057,                 0.9604,                0.95423,                0.58509,                  1.418,                 0.9802,                 1.8522,                0.00101,                0.00101,                0.00101
                     53,                 1.5631,                 1.2173,                 1.8463,                0.88776,                0.93973,                0.96109,                0.60853,                 1.3664,                0.94088,                 1.8103,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6056,                 1.2844,                 1.8828,                0.91606,                0.93069,                0.97573,                0.62089,                 1.3047,                 0.9272,                 1.7614,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6266,                 1.3498,                 1.9081,                0.92817,                0.94059,                0.97224,                0.62927,                 1.3126,                0.92085,                 1.7653,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5663,                 1.2332,                 1.8413,                0.89663,                0.92079,                0.95724,                0.61965,                 1.3179,                0.97495,                 1.7659,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.6188,                 1.2115,                  1.832,                0.89939,                0.94059,                0.96065,                 0.6355,                 1.2852,                 0.9644,                 1.7693,               0.000911,               0.000911,               0.000911
                     58,                  1.586,                 1.2325,                  1.825,                0.84838,                 0.9505,                0.95011,                0.61414,                 1.3124,                 1.0249,                 1.7735,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6547,                 1.1916,                 1.8374,                0.90291,                0.92073,                0.95253,                0.59641,                 1.3665,                0.91684,                 1.8115,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5763,                 1.1765,                 1.7768,                0.94428,                0.94059,                0.97984,                0.64164,                 1.2808,                0.83015,                 1.7512,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6187,                 1.2937,                 1.8844,                0.94838,                 0.9505,                0.97797,                0.65882,                 1.2531,                 0.8315,                 1.7321,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6729,                 1.2658,                 1.9639,                0.96884,                0.92366,                0.98014,                0.65965,                 1.2806,                0.88574,                 1.7486,               0.000812,               0.000812,               0.000812
                     63,                 1.5767,                 1.3147,                 1.8189,                0.95925,                 0.9324,                0.98709,                0.63972,                 1.3018,                0.88318,                 1.7498,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5403,                  1.183,                 1.7423,                0.85898,                 0.9505,                 0.9547,                0.63545,                 1.2382,                0.92363,                 1.7113,              0.0007724,              0.0007724,              0.0007724
